Date,Open,High,Low,Close,Volume
2022-08-15,28623.78,28897.07,28623.78,28871.78,53700000
2022-08-16,28829.53,28928.16,28752.88,28868.91,50100000
2022-08-17,28952.65,29222.77,28944.71,29222.77,66600000
2022-08-18,28957.40,28999.64,28846.52,28942.14,47400000
2022-08-19,29095.71,29150.80,28913.05,28930.33,48400000
2022-08-22,28654.07,28828.21,28586.36,28794.50,49200000
2022-08-23,28580.20,28580.20,28395.30,28452.75,55700000
2022-08-24,28481.34,28515.61,28282.21,28313.47,62000000
2022-08-25,28415.11,28534.71,28357.03,28479.01,53700000
2022-08-26,28639.47,28792.93,28608.70,28641.38,49100000
2022-08-29,28161.06,28179.09,27788.12,27878.96,64100000
2022-08-30,28086.72,28233.80,27944.25,28195.58,60700000
2022-08-31,27928.09,28104.80,27906.17,28091.53,86200000
2022-09-01,27797.00,27832.78,27589.70,27661.47,68900000
2022-09-02,27755.60,27772.37,27570.74,27650.84,58800000
2022-09-05,27567.29,27673.44,27511.68,27619.61,47100000
2022-09-06,27650.15,27813.78,27557.99,27626.51,46300000
2022-09-07,27546.01,27546.01,27268.70,27430.30,69400000
2022-09-08,27732.68,28083.79,27718.30,28065.28,75200000
2022-09-09,28204.71,28286.02,28091.38,28214.75,74000000
2022-09-12,28483.59,28612.89,28438.37,28542.11,50500000
2022-09-13,28556.21,28659.76,28530.36,28614.63,51700000
2022-09-14,28132.70,28141.92,27795.64,27818.62,70900000
2022-09-15,27873.96,27946.20,27801.44,27875.91,48700000
2022-09-16,27631.39,27654.99,27525.68,27567.65,81600000
2022-09-20,27788.68,27907.45,27627.86,27688.42,60000000
2022-09-21,27440.84,27467.34,27297.50,27313.13,65500000
2022-09-22,27053.58,27197.07,26955.18,27153.83,62200000
2022-09-26,26779.44,26779.44,26424.60,26431.55,96500000
2022-09-27,26585.38,26680.20,26523.77,26571.87,66800000
2022-09-28,26422.86,26516.32,25938.36,26173.98,92900000
2022-09-29,26280.50,26458.67,26221.78,26422.05,88900000
2022-09-30,26240.00,26273.65,25805.59,25937.21,101300000
2022-10-03,25778.95,26223.84,25621.96,26215.79,80700000
2022-10-04,26653.49,26994.44,26633.52,26992.21,87100000
2022-10-05,27211.32,27216.80,27030.55,27120.53,73300000
2022-10-06,27137.98,27399.19,27137.98,27311.30,69400000
2022-10-07,26975.92,27198.91,26921.90,27116.11,66700000
2022-10-11,26757.12,26759.62,26369.56,26401.25,78900000
2022-10-12,26353.22,26495.75,26313.41,26396.83,68800000
2022-10-13,26398.29,26408.31,26237.42,26237.42,59200000
2022-10-14,26599.32,27180.16,26595.35,27090.76,82400000
2022-10-17,26785.02,26814.92,26649.13,26775.79,65300000
2022-10-18,27167.73,27229.88,26910.10,27156.14,66100000
2022-10-19,27225.17,27371.38,27192.79,27257.38,57600000
2022-10-20,26981.75,27092.55,26872.45,27006.96,60300000
2022-10-21,26903.50,26985.38,26869.38,26890.58,56300000
2022-10-24,27233.00,27308.97,26974.90,26974.90,59100000
2022-10-25,27113.20,27337.80,27073.18,27250.28,62200000
2022-10-26,27410.64,27578.05,27404.90,27431.84,61000000
2022-10-27,27407.23,27450.26,27330.79,27345.24,65400000
2022-10-28,27097.38,27265.46,26981.08,27105.20,144600000
2022-10-31,27404.30,27602.99,27392.99,27587.46,71100000
2022-11-01,27614.64,27682.97,27526.18,27678.92,72600000
2022-11-02,27562.30,27692.55,27546.88,27663.39,86600000
2022-11-04,27371.89,27389.30,27032.02,27199.74,111100000
2022-11-07,27406.78,27578.01,27357.53,27527.64,78900000
2022-11-08,27718.84,27943.27,27704.64,27872.11,84400000
2022-11-09,27884.55,27926.52,27688.86,27716.43,79100000
2022-11-10,27459.08,27485.38,27370.62,27446.10,77100000
2022-11-11,27868.69,28329.54,27837.09,28263.57,103700000
2022-11-14,28277.64,28305.04,27963.47,27963.47,85100000
2022-11-15,27940.26,28038.63,27903.27,27990.17,71200000
2022-11-16,28020.49,28069.25,27743.15,28028.30,73200000
2022-11-17,27952.21,28029.62,27910.01,27930.57,58900000
2022-11-18,28009.82,28045.44,27877.78,27899.77,64800000
2022-11-21,27982.00,28007.06,27846.30,27944.79,56500000
2022-11-22,28059.51,28203.35,28038.16,28115.74,75900000
2022-11-24,28373.72,28502.29,28363.66,28383.09,83900000
2022-11-25,28398.77,28399.88,28263.60,28283.03,56800000
2022-11-28,28220.56,28238.50,28046.32,28162.83,64600000
2022-11-29,27991.50,28055.91,27899.98,28027.84,64800000
2022-11-30,27886.67,27972.89,27802.71,27968.99,106600000
2022-12-01,28273.13,28423.46,28226.08,28226.08,71400000
2022-12-02,27983.18,27983.18,27662.12,27777.90,79400000
2022-12-05,27752.99,27854.11,27700.86,27820.40,63900000
2022-12-06,27704.06,27934.07,27698.31,27885.87,60400000
2022-12-07,27670.29,27786.25,27646.78,27686.40,63000000
2022-12-08,27622.30,27643.64,27415.66,27574.43,64900000
2022-12-09,27633.96,27952.80,27633.96,27901.01,70200000
2022-12-12,27741.10,27865.72,27734.66,27842.33,49600000
2022-12-13,28067.37,28116.56,27907.49,27954.85,51900000
2022-12-14,28005.03,28195.69,27993.78,28156.21,54800000
2022-12-15,27991.14,28163.17,27987.54,28051.70,51100000
2022-12-16,27706.70,27713.04,27488.83,27527.12,83800000
2022-12-19,27279.92,27349.58,27165.78,27237.64,58200000
2022-12-20,27257.35,27339.49,26416.91,26568.03,118500000
2022-12-21,26547.17,26616.28,26269.80,26387.72,119200000
2022-12-22,26552.43,26585.28,26399.31,26507.87,73400000
2022-12-23,26207.77,26291.98,26106.38,26235.25,75700000
2022-12-26,26299.54,26438.65,26294.85,26405.87,47300000
2022-12-27,26570.78,26620.49,26447.87,26447.87,50200000
2022-12-28,26309.34,26354.27,26199.67,26340.50,61500000
2022-12-29,26074.90,26126.70,25953.92,26093.67,63100000
2022-12-30,26288.00,26321.37,26067.92,26094.50,52700000
2023-01-04,25834.93,25840.68,25661.89,25716.86,83300000
2023-01-05,25825.50,25947.10,25750.46,25820.80,72300000
2023-01-06,25740.08,26034.06,25719.61,25973.85,68200000
2023-01-10,26176.61,26316.66,26132.80,26175.56,71200000
2023-01-11,26362.21,26479.99,26332.05,26446.00,62400000
2023-01-12,26524.94,26547.61,26381.93,26449.82,77000000
2023-01-13,26391.78,26409.21,26090.84,26119.52,98300000
2023-01-16,25836.67,25938.04,25748.10,25822.32,71700000
2023-01-17,25915.51,26198.69,25895.30,26138.68,68100000
2023-01-18,26251.34,26816.68,26211.84,26791.12,93400000
2023-01-19,26541.08,26592.87,26368.97,26405.23,68700000
2023-01-20,26346.69,26553.53,26320.96,26553.53,60400000
2023-01-23,26880.21,26938.28,26788.76,26906.04,60200000
2023-01-24,27150.43,27381.00,27150.43,27299.19,70800000
2023-01-25,27175.88,27473.90,27175.88,27395.01,63400000
2023-01-26,27444.64,27502.15,27284.08,27362.75,63300000
2023-01-27,27428.41,27452.67,27326.91,27382.56,71500000
2023-01-30,27384.77,27486.42,27337.25,27433.40,65800000
2023-01-31,27458.56,27494.17,27302.22,27327.11,74600000
2023-02-01,27483.41,27547.67,27322.79,27346.88,65800000
2023-02-02,27453.67,27472.44,27338.43,27402.05,73200000
2023-02-03,27455.03,27612.57,27445.69,27509.46,92800000
2023-02-06,27764.66,27821.22,27656.47,27693.65,88400000
2023-02-07,27744.90,27814.96,27662.11,27685.47,74300000
2023-02-08,27690.74,27719.45,27458.53,27606.46,69000000
2023-02-09,27453.40,27635.38,27424.69,27584.35,61700000
2023-02-10,27711.25,27814.02,27609.33,27670.98,88800000
2023-02-13,27550.35,27570.32,27266.94,27427.32,70400000
2023-02-14,27705.37,27721.82,27553.18,27602.77,55800000
2023-02-15,27686.01,27720.27,27444.13,27501.86,72100000
2023-02-16,27654.72,27727.66,27597.12,27696.44,68100000
2023-02-17,27484.60,27608.59,27466.61,27513.13,68800000
2023-02-20,27497.13,27531.94,27426.48,27531.94,62500000
2023-02-21,27486.09,27538.29,27359.12,27473.10,61600000
2023-02-22,27265.99,27300.53,27046.08,27104.32,74700000
2023-02-24,27144.72,27465.90,27128.32,27453.48,76000000
2023-02-27,27322.73,27456.22,27292.74,27423.96,59400000
2023-02-28,27515.34,27585.17,27400.36,27445.56,86300000
2023-03-01,27363.57,27530.76,27305.37,27516.53,69800000
2023-03-02,27564.82,27617.80,27408.54,27498.87,69300000
2023-03-03,27683.26,27961.21,27655.34,27927.47,78200000
2023-03-06,28182.31,28288.62,28153.82,28237.78,65700000
2023-03-07,28202.59,28398.27,28202.59,28309.16,69800000
2023-03-08,28237.21,28469.41,28232.68,28444.19,67200000
2023-03-09,28648.11,28734.79,28558.88,28623.15,72300000
2023-03-10,28385.29,28424.24,28118.74,28143.97,111300000
2023-03-13,27886.21,27906.97,27631.53,27832.96,96100000
2023-03-14,27455.95,27455.95,27104.75,27222.04,125700000
2023-03-15,27421.66,27424.94,27105.99,27229.48,86600000
2023-03-16,26796.67,27057.54,26632.92,27010.61,107100000
2023-03-17,27232.23,27356.15,27071.71,27333.79,101500000
2023-03-20,27253.73,27367.18,26945.67,26945.67,79200000
2023-03-22,27298.15,27520.97,27267.26,27466.61,78100000
2023-03-23,27232.97,27461.97,27175.63,27419.61,64100000
2023-03-24,27368.62,27397.29,27257.44,27385.25,59500000
2023-03-27,27482.39,27543.48,27359.72,27476.87,57400000
2023-03-28,27573.82,27603.45,27432.76,27518.25,66400000
2023-03-29,27549.37,27897.72,27505.48,27883.78,83800000
2023-03-30,27827.89,27876.38,27630.55,27782.93,82000000
2023-03-31,28009.22,28124.62,27986.62,28041.48,91100000
2023-04-03,28203.35,28258.91,28120.71,28188.15,75000000
2023-04-04,28213.93,28287.42,28139.12,28287.42,73300000
2023-04-05,28111.04,28133.57,27788.77,27813.26,74300000
2023-04-06,27589.14,27609.86,27427.66,27472.63,73200000
2023-04-07,27554.37,27591.15,27456.25,27518.31,49100000
2023-04-10,27658.52,27737.49,27597.18,27633.66,48000000
2023-04-11,27895.90,28068.39,27854.82,27923.37,64800000
2023-04-12,27985.93,28121.46,27983.97,28082.70,62700000
2023-04-13,27952.58,28163.87,27952.01,28156.97,59900000
2023-04-14,28321.54,28515.51,28282.82,28493.47,72900000
2023-04-17,28537.99,28599.75,28414.98,28514.78,58000000
2023-04-18,28567.54,28698.22,28520.76,28658.83,62300000
2023-04-19,28619.84,28677.22,28531.54,28606.76,58000000
2023-04-20,28472.00,28694.25,28442.45,28657.57,56700000
2023-04-21,28590.55,28778.37,28527.80,28564.37,61400000
2023-04-24,28631.78,28680.65,28567.24,28593.52,50000000
2023-04-25,28697.73,28806.69,28609.77,28620.07,59300000
2023-04-26,28478.52,28551.61,28319.77,28416.47,68700000
2023-04-27,28340.59,28459.73,28241.67,28457.68,73600000
2023-04-28,28705.91,28879.24,28499.51,28856.44,104000000
2023-05-01,29058.05,29145.89,29016.83,29123.18,73400000
2023-05-02,29278.80,29278.80,29083.13,29157.95,63900000
2023-05-08,29095.46,29144.12,28931.81,28949.88,74100000
2023-05-09,29020.63,29262.36,29020.63,29242.82,86400000
2023-05-10,29189.41,29195.16,29070.11,29122.18,87300000
2023-05-11,29110.79,29165.59,29028.71,29126.72,82200000
2023-05-12,29199.30,29426.06,29141.52,29388.30,106100000
2023-05-15,29547.04,29629.47,29475.97,29626.34,88600000
2023-05-16,29838.01,29916.56,29779.07,29842.99,107400000
2023-05-17,29912.44,30115.32,29912.44,30093.59,93100000
2023-05-18,30432.54,30667.13,30381.90,30573.93,90500000
2023-05-19,30847.36,30924.57,30679.16,30808.35,80500000
2023-05-22,30735.71,31086.82,30689.27,31086.82,75400000
2023-05-23,31245.72,31352.53,30828.73,30957.77,92200000
2023-05-24,30728.69,30856.92,30566.83,30682.68,81700000
2023-05-25,30599.27,30889.98,30558.14,30801.13,84000000
2023-05-26,30909.61,31101.60,30864.49,30916.31,78300000
2023-05-29,31388.01,31560.43,31164.00,31233.54,78300000
